Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-08-12 17:08:17.815 +0100,"Success",0:00:00,0,0,0,"20220812_170817.815/LogFile.txt","","",1
2022-08-12 17:13:49.355 +0100,"Success",0:00:01,0,0,0,"20220812_171349.355/LogFile.txt","","",1
