Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-08-12 17:05:23.003 +0100,"Success",0:01:31,0,0,0,"20220812_170523.003/LogFile.txt","","",2
2022-08-12 17:13:02.167 +0100,"Success",0:00:26,0,0,0,"20220812_171302.167/LogFile.txt","","",2
